train_epoch ; train_step ; discrim_loss ; gen_loss_GAN ; gen_loss_L1
0 ; 150 ; 0.0 ; 0.0 ; 0.0
1 ; 1 ; 0.016019782 ; 0.0067422236 ; 0.005916816
1 ; 2 ; 0.04053496 ; 0.021108666 ; 0.0117632765
1 ; 3 ; 0.0676641 ; 0.036749326 ; 0.0166429
1 ; 4 ; 0.08259475 ; 0.046215147 ; 0.020639468
1 ; 5 ; 0.09789596 ; 0.055915304 ; 0.024446364
1 ; 6 ; 0.11164086 ; 0.06498002 ; 0.02785283
1 ; 7 ; 0.12398791 ; 0.073277354 ; 0.031347305
1 ; 8 ; 0.13641182 ; 0.081135616 ; 0.035035785
1 ; 9 ; 0.14858973 ; 0.09074461 ; 0.03812062
1 ; 10 ; 0.15881254 ; 0.099499375 ; 0.0408563
1 ; 11 ; 0.17030756 ; 0.10786278 ; 0.04397253
1 ; 12 ; 0.18164614 ; 0.117726095 ; 0.04642602
1 ; 13 ; 0.19334956 ; 0.12683074 ; 0.0485864
1 ; 14 ; 0.20506325 ; 0.13494803 ; 0.05098108
1 ; 15 ; 0.21691868 ; 0.14522079 ; 0.053848512
1 ; 16 ; 0.2275902 ; 0.15313068 ; 0.055498052
1 ; 17 ; 0.23928608 ; 0.15997851 ; 0.057643563
1 ; 18 ; 0.25111055 ; 0.1666891 ; 0.059859544
1 ; 19 ; 0.26062003 ; 0.17618787 ; 0.06177919
1 ; 20 ; 0.27160838 ; 0.18354839 ; 0.06444381
1 ; 21 ; 0.28134325 ; 0.19238174 ; 0.0668293
1 ; 22 ; 0.29379922 ; 0.2005213 ; 0.068511195
1 ; 23 ; 0.3111032 ; 0.21017766 ; 0.069651864
1 ; 24 ; 0.323038 ; 0.21954662 ; 0.070863545
1 ; 25 ; 0.3332999 ; 0.2281469 ; 0.072921656
1 ; 26 ; 0.342623 ; 0.23547418 ; 0.07501769
1 ; 27 ; 0.3534425 ; 0.24188319 ; 0.0771197
1 ; 28 ; 0.3632893 ; 0.24794789 ; 0.07928822
1 ; 29 ; 0.37157187 ; 0.25708988 ; 0.080348365
1 ; 30 ; 0.382029 ; 0.26384708 ; 0.08155993
1 ; 31 ; 0.38944185 ; 0.2704877 ; 0.082651146
1 ; 32 ; 0.3973513 ; 0.27751967 ; 0.0836556
1 ; 33 ; 0.40568167 ; 0.28139707 ; 0.08488128
1 ; 34 ; 0.41290766 ; 0.29031456 ; 0.08568706
1 ; 35 ; 0.41945863 ; 0.2971735 ; 0.086596556
1 ; 36 ; 0.42545 ; 0.3055817 ; 0.08733874
1 ; 37 ; 0.43266124 ; 0.31082776 ; 0.08817643
1 ; 38 ; 0.4409886 ; 0.3180286 ; 0.08901609
1 ; 39 ; 0.45137084 ; 0.3199541 ; 0.08966043
1 ; 40 ; 0.46208292 ; 0.3236888 ; 0.091568515
1 ; 41 ; 0.47136167 ; 0.33216122 ; 0.092837036
1 ; 42 ; 0.48093757 ; 0.33970523 ; 0.09359663
1 ; 43 ; 0.4892211 ; 0.34743592 ; 0.09458465
1 ; 44 ; 0.49787474 ; 0.35158134 ; 0.09527012
1 ; 45 ; 0.50576967 ; 0.35679114 ; 0.096065484
1 ; 46 ; 0.5135101 ; 0.3635466 ; 0.097160354
1 ; 47 ; 0.5215699 ; 0.36624148 ; 0.097698815
1 ; 48 ; 0.5299495 ; 0.3714676 ; 0.10052744
1 ; 49 ; 0.53877854 ; 0.37589476 ; 0.10159162
1 ; 50 ; 0.5477036 ; 0.3806741 ; 0.10201928
1 ; 51 ; 0.5571817 ; 0.38767684 ; 0.10274767
1 ; 52 ; 0.56655544 ; 0.39126623 ; 0.103104055
1 ; 53 ; 0.5737154 ; 0.39540106 ; 0.10384944
1 ; 54 ; 0.581313 ; 0.4022297 ; 0.10443444
1 ; 55 ; 0.5886099 ; 0.40561935 ; 0.10482516
1 ; 56 ; 0.595907 ; 0.4092501 ; 0.10623187
1 ; 57 ; 0.6042263 ; 0.41362375 ; 0.10735372
1 ; 58 ; 0.6120323 ; 0.41897753 ; 0.107996516
1 ; 59 ; 0.6174983 ; 0.4232657 ; 0.10885762
1 ; 60 ; 0.6229836 ; 0.4296252 ; 0.109380394
1 ; 61 ; 0.6290607 ; 0.43484855 ; 0.10972378
1 ; 62 ; 0.63564104 ; 0.43782672 ; 0.110330805
1 ; 63 ; 0.64254886 ; 0.44200113 ; 0.11121201
1 ; 64 ; 0.649529 ; 0.4485328 ; 0.111675486
1 ; 65 ; 0.65611285 ; 0.4503445 ; 0.11217652
1 ; 66 ; 0.6623739 ; 0.45592004 ; 0.113223866
1 ; 67 ; 0.6679702 ; 0.46217477 ; 0.11335059
1 ; 68 ; 0.6746989 ; 0.4636768 ; 0.11416804
1 ; 69 ; 0.6799626 ; 0.46894112 ; 0.114876226
1 ; 70 ; 0.68589365 ; 0.47277614 ; 0.11579754
1 ; 71 ; 0.6936023 ; 0.47969505 ; 0.11605259
1 ; 72 ; 0.7010445 ; 0.48197865 ; 0.116224565
1 ; 73 ; 0.7069402 ; 0.48682764 ; 0.11646374
1 ; 74 ; 0.7139213 ; 0.49086308 ; 0.11685617
1 ; 75 ; 0.7203264 ; 0.4933442 ; 0.11774523
1 ; 76 ; 0.725381 ; 0.49722812 ; 0.11825267
1 ; 77 ; 0.73066986 ; 0.5044153 ; 0.1189188
1 ; 78 ; 0.7362575 ; 0.50710124 ; 0.11933904
1 ; 79 ; 0.7410321 ; 0.511227 ; 0.119544946
1 ; 80 ; 0.7464043 ; 0.51316637 ; 0.11999732
1 ; 81 ; 0.75212663 ; 0.52090013 ; 0.12016719
1 ; 82 ; 0.7559273 ; 0.5245856 ; 0.120364234
1 ; 83 ; 0.7599091 ; 0.52770793 ; 0.12051289
1 ; 84 ; 0.7642176 ; 0.533349 ; 0.120794654
1 ; 85 ; 0.76778686 ; 0.5382253 ; 0.12121202
1 ; 86 ; 0.7722708 ; 0.5409401 ; 0.12162074
1 ; 87 ; 0.77719456 ; 0.5452674 ; 0.122226104
1 ; 88 ; 0.7832027 ; 0.55396444 ; 0.12237645
1 ; 89 ; 0.79254967 ; 0.5557373 ; 0.122902386
1 ; 90 ; 0.7990006 ; 0.5595526 ; 0.125108
1 ; 91 ; 0.80602217 ; 0.5620071 ; 0.1252996
1 ; 92 ; 0.81438255 ; 0.5710167 ; 0.12549283
1 ; 93 ; 0.8194706 ; 0.57304114 ; 0.1256599
1 ; 94 ; 0.8252578 ; 0.57382894 ; 0.12665795
1 ; 95 ; 0.830595 ; 0.5796508 ; 0.12875156
1 ; 96 ; 0.8350363 ; 0.58193886 ; 0.12970623
1 ; 97 ; 0.84039295 ; 0.58420134 ; 0.13020748
1 ; 98 ; 0.8446637 ; 0.5879093 ; 0.13074772
1 ; 99 ; 0.8475184 ; 0.59204286 ; 0.13114415
1 ; 100 ; 0.85043776 ; 0.5979185 ; 0.13151006
1 ; 101 ; 0.8530271 ; 0.59850985 ; 0.1322319
1 ; 102 ; 0.85721385 ; 0.6019929 ; 0.13262543
1 ; 103 ; 0.8605685 ; 0.60930276 ; 0.13256331
1 ; 104 ; 0.8645234 ; 0.60998344 ; 0.1324962
1 ; 105 ; 0.866729 ; 0.61359787 ; 0.13235722
1 ; 106 ; 0.8698318 ; 0.6197959 ; 0.13243677
1 ; 107 ; 0.8725082 ; 0.62017965 ; 0.13295174
1 ; 108 ; 0.8738103 ; 0.626214 ; 0.13635826
1 ; 109 ; 0.8782962 ; 0.62726593 ; 0.13819343
1 ; 110 ; 0.88423663 ; 0.62967336 ; 0.13860704
1 ; 111 ; 0.89096236 ; 0.6352708 ; 0.13914923
1 ; 112 ; 0.8955056 ; 0.6410415 ; 0.13928948
1 ; 113 ; 0.8979796 ; 0.6433595 ; 0.13949001
1 ; 114 ; 0.8999965 ; 0.6472733 ; 0.13959396
1 ; 115 ; 0.9041296 ; 0.6521603 ; 0.13959768
1 ; 116 ; 0.90619606 ; 0.6568597 ; 0.13966918
1 ; 117 ; 0.9080826 ; 0.6587948 ; 0.1397063
1 ; 118 ; 0.9098799 ; 0.6635203 ; 0.1401881
1 ; 119 ; 0.9107691 ; 0.66975415 ; 0.14034188
1 ; 120 ; 0.9142779 ; 0.66827685 ; 0.14017047
1 ; 121 ; 0.9181285 ; 0.6756176 ; 0.14018816
1 ; 122 ; 0.91985774 ; 0.67726785 ; 0.14031069
1 ; 123 ; 0.92282534 ; 0.68121153 ; 0.14021786
1 ; 124 ; 0.92485434 ; 0.6841068 ; 0.14044917
1 ; 125 ; 0.9302952 ; 0.6833916 ; 0.14068423
1 ; 126 ; 0.9335971 ; 0.6880905 ; 0.14138165
1 ; 127 ; 0.9373511 ; 0.6932349 ; 0.14156228
1 ; 128 ; 0.9387933 ; 0.6961261 ; 0.14341725
1 ; 129 ; 0.93944925 ; 0.70079416 ; 0.14339627
1 ; 130 ; 0.942086 ; 0.7018506 ; 0.14334074
1 ; 131 ; 0.9456608 ; 0.7025204 ; 0.14433001
1 ; 132 ; 0.9470321 ; 0.70757514 ; 0.14429283
1 ; 133 ; 0.9483558 ; 0.7091075 ; 0.14480413
1 ; 134 ; 0.948057 ; 0.7121018 ; 0.14664872
1 ; 135 ; 0.9523918 ; 0.7178443 ; 0.14679925
1 ; 136 ; 0.9597457 ; 0.71715117 ; 0.14740299
1 ; 137 ; 0.96184576 ; 0.72148997 ; 0.14863859
1 ; 138 ; 0.9658084 ; 0.72668344 ; 0.14983454
1 ; 139 ; 0.96616286 ; 0.7306813 ; 0.15008466
1 ; 140 ; 0.96789795 ; 0.73374844 ; 0.15091357
1 ; 141 ; 0.969645 ; 0.7366673 ; 0.1509658
1 ; 142 ; 0.9712957 ; 0.7388659 ; 0.15085478
1 ; 143 ; 0.9706195 ; 0.7438782 ; 0.15102012
1 ; 144 ; 0.9705539 ; 0.7455052 ; 0.15277766
1 ; 145 ; 0.9709989 ; 0.7533076 ; 0.15473515
1 ; 146 ; 0.9713827 ; 0.75870156 ; 0.15470578
1 ; 147 ; 0.9732984 ; 0.7583788 ; 0.15464965
1 ; 148 ; 0.97276753 ; 0.76256824 ; 0.1551112
1 ; 149 ; 0.97542053 ; 0.7697495 ; 0.15502554
1 ; 150 ; 0.97718924 ; 0.76797193 ; 0.15498032
2 ; 1 ; 0.97885716 ; 0.7732092 ; 0.15487199
2 ; 2 ; 0.9835346 ; 0.77016807 ; 0.15541786
2 ; 3 ; 0.9849687 ; 0.7753855 ; 0.15546726
2 ; 4 ; 0.9876403 ; 0.7787763 ; 0.15563217
2 ; 5 ; 0.99467903 ; 0.78363615 ; 0.15543179
2 ; 6 ; 1.0001255 ; 0.7866085 ; 0.155235
2 ; 7 ; 1.000497 ; 0.78938043 ; 0.15620926
2 ; 8 ; 1.003121 ; 0.7960722 ; 0.15641679
2 ; 9 ; 1.008298 ; 0.79414886 ; 0.15639624
2 ; 10 ; 1.0052779 ; 0.800327 ; 0.15861687
2 ; 11 ; 1.0085721 ; 0.80811435 ; 0.15839027
2 ; 12 ; 1.0084095 ; 0.8088783 ; 0.1585161
2 ; 13 ; 1.0086693 ; 0.81459415 ; 0.15822953
2 ; 14 ; 1.0093647 ; 0.81425977 ; 0.15801853
2 ; 15 ; 1.0067267 ; 0.8215556 ; 0.1578227
2 ; 16 ; 1.0097911 ; 0.82082176 ; 0.15757465
2 ; 17 ; 1.0079683 ; 0.82134855 ; 0.15840967
2 ; 18 ; 1.0073721 ; 0.82489526 ; 0.15864906
2 ; 19 ; 1.0094068 ; 0.83258706 ; 0.15849367
2 ; 20 ; 1.0092794 ; 0.8331722 ; 0.1583061
2 ; 21 ; 1.0140507 ; 0.8299674 ; 0.15814772
2 ; 22 ; 1.0160874 ; 0.83520097 ; 0.15819325
2 ; 23 ; 1.0183772 ; 0.83649975 ; 0.15777075
2 ; 24 ; 1.0210514 ; 0.83448005 ; 0.15771152
2 ; 25 ; 1.0214125 ; 0.8384996 ; 0.15907568
2 ; 26 ; 1.0225036 ; 0.83706474 ; 0.15918536
2 ; 27 ; 1.0243988 ; 0.8489802 ; 0.15956305
2 ; 28 ; 1.0247254 ; 0.8504406 ; 0.15928183
2 ; 29 ; 1.0278974 ; 0.84784025 ; 0.15940483
2 ; 30 ; 1.0289526 ; 0.8488811 ; 0.1594948
2 ; 31 ; 1.0272206 ; 0.85679233 ; 0.16177344
2 ; 32 ; 1.0329 ; 0.86636573 ; 0.16157535
2 ; 33 ; 1.0365077 ; 0.8617879 ; 0.16121976
2 ; 34 ; 1.0379806 ; 0.8620236 ; 0.16130225
2 ; 35 ; 1.0418085 ; 0.86839855 ; 0.16193946
2 ; 36 ; 1.045226 ; 0.87731946 ; 0.16156979
2 ; 37 ; 1.0469725 ; 0.8747649 ; 0.1616172
2 ; 38 ; 1.0474942 ; 0.8762806 ; 0.16120937
2 ; 39 ; 1.0442998 ; 0.88042307 ; 0.1614511
2 ; 40 ; 1.0440385 ; 0.8853126 ; 0.16130121
2 ; 41 ; 1.0433972 ; 0.88519764 ; 0.16112393
2 ; 42 ; 1.0450817 ; 0.88757473 ; 0.16099364
2 ; 43 ; 1.0437562 ; 0.8909425 ; 0.16094883
2 ; 44 ; 1.0438001 ; 0.8920071 ; 0.16108619
2 ; 45 ; 1.0441769 ; 0.89700574 ; 0.1609257
2 ; 46 ; 1.0432019 ; 0.8953431 ; 0.16073422
2 ; 47 ; 1.0411904 ; 0.9003288 ; 0.16053239
2 ; 48 ; 1.0383902 ; 0.90372556 ; 0.16011271
2 ; 49 ; 1.0372005 ; 0.90459734 ; 0.16026215
2 ; 50 ; 1.0413805 ; 0.91272926 ; 0.16010448
