train_epoch ; train_step ; discrim_loss ; gen_loss_GAN ; gen_loss_L1
0 ; 150 ; 0.0 ; 0.0 ; 0.0
1 ; 1 ; 0.017138135 ; 0.010065574 ; 0.004604209
1 ; 2 ; 0.03882444 ; 0.02085925 ; 0.009726232
1 ; 3 ; 0.056493215 ; 0.029012445 ; 0.014361859
1 ; 4 ; 0.07446513 ; 0.037863694 ; 0.018468475
1 ; 5 ; 0.096258484 ; 0.05010952 ; 0.021910077
1 ; 6 ; 0.112954535 ; 0.060200423 ; 0.025549687
1 ; 7 ; 0.12581255 ; 0.06829149 ; 0.029254273
1 ; 8 ; 0.13907875 ; 0.07732653 ; 0.03214043
1 ; 9 ; 0.15205537 ; 0.08586314 ; 0.03488218
1 ; 10 ; 0.16446258 ; 0.09505942 ; 0.03777585
1 ; 11 ; 0.17625003 ; 0.102899045 ; 0.040529698
1 ; 12 ; 0.18657427 ; 0.11150989 ; 0.04318167
1 ; 14 ; 0.19695067 ; 0.11991228 ; 0.04535419
1 ; 14 ; 0.20680977 ; 0.12923187 ; 0.047633834
1 ; 15 ; 0.2170898 ; 0.13864745 ; 0.049560923
1 ; 16 ; 0.22873402 ; 0.14745279 ; 0.05215123
1 ; 17 ; 0.2392922 ; 0.15532649 ; 0.054185852
1 ; 18 ; 0.24935043 ; 0.1643604 ; 0.055975806
1 ; 19 ; 0.25994545 ; 0.1736524 ; 0.057595596
1 ; 20 ; 0.27101997 ; 0.18260506 ; 0.059608176
1 ; 21 ; 0.28129545 ; 0.19046552 ; 0.06083671
1 ; 22 ; 0.2908384 ; 0.20012635 ; 0.062039055
1 ; 23 ; 0.29972374 ; 0.20757353 ; 0.06384069
1 ; 24 ; 0.3092797 ; 0.21457171 ; 0.065396085
1 ; 25 ; 0.31948543 ; 0.22030482 ; 0.06672525
1 ; 26 ; 0.33052924 ; 0.22869787 ; 0.068386495
1 ; 27 ; 0.34101424 ; 0.23768182 ; 0.07078702
1 ; 28 ; 0.35027063 ; 0.24572556 ; 0.07213208
1 ; 29 ; 0.360139 ; 0.2523882 ; 0.07338389
1 ; 30 ; 0.3710898 ; 0.2615261 ; 0.074687
1 ; 31 ; 0.38056168 ; 0.26667565 ; 0.07585219
1 ; 32 ; 0.3884845 ; 0.27535495 ; 0.077062726
1 ; 33 ; 0.3959683 ; 0.28237435 ; 0.0777855
1 ; 34 ; 0.4041941 ; 0.28723982 ; 0.07881831
1 ; 35 ; 0.41330484 ; 0.29596066 ; 0.07980191
1 ; 36 ; 0.42289034 ; 0.30049172 ; 0.08064495
1 ; 37 ; 0.4322013 ; 0.3070713 ; 0.08152825
1 ; 38 ; 0.44268742 ; 0.31353283 ; 0.08402017
1 ; 39 ; 0.45263186 ; 0.31834415 ; 0.08567222
1 ; 40 ; 0.46108165 ; 0.32473087 ; 0.0868878
1 ; 41 ; 0.46960512 ; 0.33179507 ; 0.08744772
1 ; 42 ; 0.48119316 ; 0.33599842 ; 0.08823092
1 ; 43 ; 0.49403438 ; 0.3441677 ; 0.09078083
1 ; 44 ; 0.50392944 ; 0.34891853 ; 0.09283111
1 ; 45 ; 0.51273036 ; 0.3545795 ; 0.09345547
1 ; 46 ; 0.52104634 ; 0.35845888 ; 0.09428707
1 ; 47 ; 0.5287624 ; 0.36355987 ; 0.0956316
1 ; 48 ; 0.5372355 ; 0.36817554 ; 0.0961742
1 ; 49 ; 0.5441626 ; 0.37360248 ; 0.098366015
1 ; 50 ; 0.55167735 ; 0.37921825 ; 0.09887822
1 ; 51 ; 0.5584544 ; 0.3832261 ; 0.09976783
1 ; 52 ; 0.5646509 ; 0.38954335 ; 0.10046516
1 ; 53 ; 0.5714752 ; 0.39388898 ; 0.10142534
1 ; 54 ; 0.5777385 ; 0.39968604 ; 0.102152504
1 ; 55 ; 0.5856394 ; 0.40404296 ; 0.102922
1 ; 56 ; 0.5916253 ; 0.4097947 ; 0.103576265
1 ; 57 ; 0.59864223 ; 0.41233316 ; 0.10422943
1 ; 58 ; 0.6055689 ; 0.41895568 ; 0.105399266
1 ; 59 ; 0.61369234 ; 0.42397645 ; 0.105926454
1 ; 60 ; 0.6212569 ; 0.43092898 ; 0.10681219
1 ; 61 ; 0.6297539 ; 0.43284735 ; 0.1072064
1 ; 62 ; 0.63650596 ; 0.43748075 ; 0.1077884
1 ; 63 ; 0.64340425 ; 0.4429027 ; 0.10834514
1 ; 64 ; 0.6500622 ; 0.4477957 ; 0.110886596
1 ; 65 ; 0.6566845 ; 0.45457792 ; 0.11115978
1 ; 66 ; 0.66625506 ; 0.45520002 ; 0.111658074
1 ; 67 ; 0.67297363 ; 0.4579212 ; 0.11246709
1 ; 68 ; 0.6818423 ; 0.46640065 ; 0.11281753
1 ; 69 ; 0.68869966 ; 0.47177142 ; 0.113437966
1 ; 70 ; 0.6947004 ; 0.4761743 ; 0.11358006
1 ; 71 ; 0.6993679 ; 0.4789086 ; 0.11496259
1 ; 72 ; 0.70621765 ; 0.4821441 ; 0.11596769
1 ; 73 ; 0.7121524 ; 0.48999083 ; 0.116032444
1 ; 74 ; 0.71642774 ; 0.49319947 ; 0.11651653
1 ; 75 ; 0.7215482 ; 0.49736446 ; 0.116832174
1 ; 76 ; 0.7262928 ; 0.50083935 ; 0.11719507
1 ; 77 ; 0.7311097 ; 0.50550675 ; 0.12063266
1 ; 78 ; 0.7357279 ; 0.5119345 ; 0.12098184
1 ; 79 ; 0.7428481 ; 0.512294 ; 0.12195939
1 ; 80 ; 0.7491997 ; 0.514213 ; 0.12300767
1 ; 81 ; 0.7551205 ; 0.5220359 ; 0.12329125
1 ; 82 ; 0.76074785 ; 0.52593064 ; 0.124686375
1 ; 83 ; 0.76594615 ; 0.52909416 ; 0.12548056
1 ; 84 ; 0.77000606 ; 0.53507566 ; 0.12550113
1 ; 85 ; 0.77607423 ; 0.53588706 ; 0.12655523
1 ; 86 ; 0.7804089 ; 0.5427699 ; 0.12885492
1 ; 87 ; 0.78532904 ; 0.54854596 ; 0.12963517
1 ; 88 ; 0.7904283 ; 0.5496805 ; 0.13180713
1 ; 89 ; 0.7950209 ; 0.5567531 ; 0.13239981
1 ; 90 ; 0.799334 ; 0.5606714 ; 0.1330752
1 ; 91 ; 0.8027406 ; 0.5635666 ; 0.13337836
1 ; 92 ; 0.80875474 ; 0.5683112 ; 0.13366608
1 ; 93 ; 0.81300163 ; 0.571906 ; 0.13448747
1 ; 94 ; 0.81742114 ; 0.57442915 ; 0.134966
1 ; 95 ; 0.818918 ; 0.5803621 ; 0.13634391
1 ; 96 ; 0.8212566 ; 0.58491915 ; 0.13663366
1 ; 97 ; 0.82429355 ; 0.5918111 ; 0.13656552
1 ; 98 ; 0.8285712 ; 0.5917117 ; 0.13711144
1 ; 99 ; 0.83108205 ; 0.59605503 ; 0.13739821
1 ; 100 ; 0.83406794 ; 0.60278803 ; 0.1373775
1 ; 101 ; 0.83732563 ; 0.60352993 ; 0.13789164
1 ; 102 ; 0.84219646 ; 0.60967904 ; 0.13807322
1 ; 103 ; 0.8459167 ; 0.6155531 ; 0.13842447
1 ; 104 ; 0.8490155 ; 0.6207243 ; 0.1386143
1 ; 105 ; 0.8542579 ; 0.6250778 ; 0.13856456
1 ; 106 ; 0.8571456 ; 0.6272646 ; 0.13920683
1 ; 107 ; 0.8617726 ; 0.63045275 ; 0.1409685
1 ; 108 ; 0.86635906 ; 0.64024067 ; 0.14124717
1 ; 109 ; 0.86852163 ; 0.6416584 ; 0.14174397
1 ; 110 ; 0.87082314 ; 0.64240193 ; 0.14200951
1 ; 111 ; 0.8734188 ; 0.6493135 ; 0.14211063
1 ; 112 ; 0.87548923 ; 0.65110004 ; 0.1423518
1 ; 113 ; 0.87624514 ; 0.6586251 ; 0.1452275
1 ; 114 ; 0.8784642 ; 0.6658425 ; 0.14524555
1 ; 115 ; 0.88285124 ; 0.6643806 ; 0.14794742
1 ; 116 ; 0.8870292 ; 0.6697282 ; 0.14867274
1 ; 117 ; 0.8920316 ; 0.6756822 ; 0.14892045
1 ; 118 ; 0.89620394 ; 0.6758324 ; 0.14922957
1 ; 119 ; 0.9000256 ; 0.6820142 ; 0.14908534
1 ; 120 ; 0.9050155 ; 0.6827989 ; 0.14934348
1 ; 121 ; 0.90952533 ; 0.68672186 ; 0.1500168
1 ; 122 ; 0.91295964 ; 0.6923885 ; 0.14991
1 ; 123 ; 0.91564 ; 0.6921847 ; 0.15016502
1 ; 124 ; 0.9178465 ; 0.6977354 ; 0.15007935
1 ; 125 ; 0.9191841 ; 0.6993661 ; 0.15051082
1 ; 126 ; 0.9191079 ; 0.7075407 ; 0.150526
1 ; 127 ; 0.9212851 ; 0.71017486 ; 0.15083165
1 ; 128 ; 0.9218083 ; 0.7123549 ; 0.15079723
1 ; 129 ; 0.9209404 ; 0.7174655 ; 0.15071835
1 ; 130 ; 0.92118555 ; 0.7220682 ; 0.15090154
1 ; 131 ; 0.92462265 ; 0.7218383 ; 0.15075655
1 ; 132 ; 0.92906165 ; 0.7296719 ; 0.15075628
1 ; 133 ; 0.9315027 ; 0.7302059 ; 0.15055196
1 ; 134 ; 0.9362496 ; 0.73159564 ; 0.15069291
1 ; 135 ; 0.9420742 ; 0.73986983 ; 0.15087683
