train_epoch ; train_step ; discrim_loss ; gen_loss_GAN ; gen_loss_L1
0 ; 150 ; 0.0 ; 0.0 ; 0.0
1 ; 1 ; 0.017602962 ; 0.0065595503 ; 0.005959588
1 ; 2 ; 0.055413436 ; 0.02362585 ; 0.010765078
1 ; 3 ; 0.08283439 ; 0.03774475 ; 0.014687333
1 ; 4 ; 0.09932925 ; 0.047203586 ; 0.018336466
1 ; 5 ; 0.11345439 ; 0.056152225 ; 0.022397652
1 ; 6 ; 0.12689143 ; 0.06492814 ; 0.025619585
1 ; 7 ; 0.14134145 ; 0.074163504 ; 0.028678825
1 ; 8 ; 0.15524928 ; 0.08295805 ; 0.031871296
1 ; 9 ; 0.16757667 ; 0.090355374 ; 0.035264276
1 ; 10 ; 0.17892356 ; 0.09784634 ; 0.038028974
1 ; 11 ; 0.19020271 ; 0.10567395 ; 0.04026351
1 ; 12 ; 0.20188549 ; 0.113823146 ; 0.042772904
1 ; 13 ; 0.21301445 ; 0.12107786 ; 0.044711303
1 ; 14 ; 0.22438566 ; 0.12919906 ; 0.04664092
1 ; 15 ; 0.23571976 ; 0.13761015 ; 0.04867994
1 ; 16 ; 0.24783172 ; 0.14564888 ; 0.050604776
1 ; 17 ; 0.2616121 ; 0.15466334 ; 0.053273316
1 ; 18 ; 0.27328995 ; 0.16118476 ; 0.055259258
1 ; 19 ; 0.2842722 ; 0.16784042 ; 0.05672551
1 ; 20 ; 0.2944051 ; 0.17442282 ; 0.05881024
1 ; 21 ; 0.30515295 ; 0.18080743 ; 0.06111988
1 ; 22 ; 0.31618872 ; 0.18753952 ; 0.06283738
1 ; 23 ; 0.32721186 ; 0.1947893 ; 0.06427552
1 ; 24 ; 0.33889762 ; 0.20290376 ; 0.06554403
1 ; 25 ; 0.35107183 ; 0.21148598 ; 0.067057766
1 ; 26 ; 0.36206356 ; 0.21714762 ; 0.068649195
1 ; 27 ; 0.37132868 ; 0.2238719 ; 0.069937214
1 ; 28 ; 0.3820826 ; 0.2310007 ; 0.0729171
1 ; 29 ; 0.3924222 ; 0.2376211 ; 0.07419671
1 ; 30 ; 0.40121987 ; 0.24281593 ; 0.0766286
1 ; 31 ; 0.41119137 ; 0.24887018 ; 0.0786307
1 ; 32 ; 0.420212 ; 0.25390622 ; 0.07994853
1 ; 33 ; 0.42919847 ; 0.25980458 ; 0.08156842
1 ; 34 ; 0.43725997 ; 0.26580542 ; 0.082838446
1 ; 35 ; 0.4461638 ; 0.27126694 ; 0.08434162
1 ; 36 ; 0.45453367 ; 0.27698508 ; 0.08547057
1 ; 37 ; 0.46233657 ; 0.28301096 ; 0.08650977
