train_epoch ; train_step ; discrim_loss ; gen_loss_GAN ; gen_loss_L1
0 ; 150 ; 0.0 ; 0.0 ; 0.0
1 ; 1 ; 0.017386269 ; 0.00622983 ; 0.0057777236
1 ; 2 ; 0.051432643 ; 0.02445143 ; 0.010995784
1 ; 3 ; 0.0674216 ; 0.03416997 ; 0.0155023215
1 ; 4 ; 0.083169684 ; 0.043066613 ; 0.01880321
1 ; 5 ; 0.09580555 ; 0.05139069 ; 0.02273238
1 ; 6 ; 0.10811308 ; 0.0602801 ; 0.026143236
1 ; 7 ; 0.119250946 ; 0.068673424 ; 0.029383292
1 ; 8 ; 0.13182703 ; 0.07841251 ; 0.03260224
1 ; 9 ; 0.15069641 ; 0.09054318 ; 0.035392568
1 ; 10 ; 0.16303447 ; 0.0987144 ; 0.03818353
1 ; 11 ; 0.17323278 ; 0.106511675 ; 0.040648825
1 ; 12 ; 0.1850087 ; 0.11516921 ; 0.04341986
1 ; 13 ; 0.19796564 ; 0.12371448 ; 0.046135657
1 ; 14 ; 0.20833015 ; 0.13323593 ; 0.048220478
1 ; 15 ; 0.22024737 ; 0.14175303 ; 0.05030911
1 ; 16 ; 0.23165292 ; 0.15075582 ; 0.05260368
1 ; 17 ; 0.24141046 ; 0.15866238 ; 0.054934952
1 ; 18 ; 0.25110754 ; 0.16836065 ; 0.05679082
1 ; 19 ; 0.26056448 ; 0.17637092 ; 0.058248464
1 ; 20 ; 0.26977775 ; 0.18357456 ; 0.05987612
1 ; 21 ; 0.2789129 ; 0.19269148 ; 0.061290395
1 ; 22 ; 0.28958052 ; 0.20110577 ; 0.06311811
1 ; 23 ; 0.30297768 ; 0.20943871 ; 0.065929435
1 ; 24 ; 0.31324703 ; 0.2179662 ; 0.06727997
1 ; 25 ; 0.32266527 ; 0.2255933 ; 0.068821736
1 ; 26 ; 0.33270806 ; 0.23385489 ; 0.07074587
1 ; 27 ; 0.34206998 ; 0.24161108 ; 0.07240149
1 ; 28 ; 0.35190365 ; 0.24840702 ; 0.0739744
1 ; 29 ; 0.36087847 ; 0.25497636 ; 0.07551772
1 ; 30 ; 0.3710094 ; 0.26134643 ; 0.07693657
1 ; 31 ; 0.38159108 ; 0.27078694 ; 0.07772706
1 ; 32 ; 0.39103952 ; 0.27402002 ; 0.07880949
1 ; 33 ; 0.40027082 ; 0.27854267 ; 0.079917215
1 ; 34 ; 0.41104874 ; 0.28580198 ; 0.08336264
1 ; 35 ; 0.4190557 ; 0.29255852 ; 0.08432592
1 ; 36 ; 0.4270723 ; 0.3001463 ; 0.084897265
1 ; 37 ; 0.4377774 ; 0.30410486 ; 0.08626688
1 ; 38 ; 0.44632477 ; 0.30974624 ; 0.087449655
1 ; 39 ; 0.45499513 ; 0.31654462 ; 0.08824456
1 ; 40 ; 0.46240783 ; 0.32275337 ; 0.08883529
1 ; 41 ; 0.47188094 ; 0.3285433 ; 0.089526124
1 ; 42 ; 0.4832476 ; 0.33704928 ; 0.09046136
1 ; 43 ; 0.4940063 ; 0.33978164 ; 0.09131816
1 ; 44 ; 0.5032557 ; 0.34323123 ; 0.09257105
1 ; 45 ; 0.5125462 ; 0.35189104 ; 0.093602486
1 ; 46 ; 0.52148485 ; 0.35825774 ; 0.09662092
1 ; 47 ; 0.5302969 ; 0.36325803 ; 0.09902006
1 ; 48 ; 0.53938633 ; 0.36697978 ; 0.10034841
1 ; 49 ; 0.548297 ; 0.37145558 ; 0.101708665
1 ; 50 ; 0.5551846 ; 0.37726718 ; 0.104332685
1 ; 51 ; 0.56340176 ; 0.3812808 ; 0.1056157
1 ; 52 ; 0.5711713 ; 0.3853248 ; 0.10667744
1 ; 53 ; 0.57941794 ; 0.3902146 ; 0.10766921
1 ; 54 ; 0.58693755 ; 0.39664495 ; 0.10829917
1 ; 55 ; 0.59508044 ; 0.39901823 ; 0.10972487
1 ; 56 ; 0.6020316 ; 0.40333736 ; 0.11094266
1 ; 57 ; 0.60882115 ; 0.40866867 ; 0.11160194
1 ; 58 ; 0.61551356 ; 0.41131878 ; 0.11220032
1 ; 59 ; 0.62235373 ; 0.4171471 ; 0.11255835
1 ; 60 ; 0.6296289 ; 0.41985673 ; 0.11371426
1 ; 61 ; 0.6359274 ; 0.42420742 ; 0.11420188
1 ; 62 ; 0.6419986 ; 0.4302942 ; 0.114518255
1 ; 63 ; 0.6476805 ; 0.43374583 ; 0.11527155
1 ; 64 ; 0.65377414 ; 0.4367884 ; 0.11664456
1 ; 65 ; 0.6596395 ; 0.4420446 ; 0.11690001
1 ; 66 ; 0.66590816 ; 0.44758978 ; 0.11761403
1 ; 67 ; 0.6728832 ; 0.45054573 ; 0.11834744
1 ; 68 ; 0.6786476 ; 0.4542122 ; 0.11894763
1 ; 69 ; 0.6842074 ; 0.4611222 ; 0.11901819
1 ; 70 ; 0.69074655 ; 0.46310374 ; 0.11981077
1 ; 71 ; 0.69718766 ; 0.46875674 ; 0.11999879
1 ; 72 ; 0.70303893 ; 0.47423163 ; 0.12026485
1 ; 73 ; 0.71057403 ; 0.4768622 ; 0.12087017
1 ; 74 ; 0.7177573 ; 0.4798135 ; 0.121513665
1 ; 75 ; 0.7245176 ; 0.48476544 ; 0.1217761
1 ; 76 ; 0.73127776 ; 0.48841602 ; 0.12235109
1 ; 77 ; 0.73839295 ; 0.49360192 ; 0.12301362
1 ; 78 ; 0.7442629 ; 0.49672124 ; 0.123888224
1 ; 79 ; 0.7492806 ; 0.50214016 ; 0.12406677
1 ; 80 ; 0.75317746 ; 0.5061432 ; 0.12646736
1 ; 81 ; 0.7555998 ; 0.5105109 ; 0.12684734
1 ; 82 ; 0.7596355 ; 0.51488125 ; 0.12744127
1 ; 83 ; 0.7637567 ; 0.5190006 ; 0.12760933
1 ; 84 ; 0.7679576 ; 0.52180743 ; 0.12776221
1 ; 85 ; 0.77271104 ; 0.5259534 ; 0.12815216
1 ; 86 ; 0.7779741 ; 0.5271416 ; 0.12961462
1 ; 87 ; 0.78468555 ; 0.5359541 ; 0.12997937
1 ; 88 ; 0.78769475 ; 0.5411115 ; 0.13331488
1 ; 89 ; 0.7933797 ; 0.5445096 ; 0.13353316
1 ; 90 ; 0.8031086 ; 0.5496054 ; 0.13388294
1 ; 91 ; 0.8093984 ; 0.5523438 ; 0.13425435
1 ; 92 ; 0.8136951 ; 0.5558496 ; 0.134277
1 ; 93 ; 0.8185264 ; 0.5583048 ; 0.13518593
1 ; 94 ; 0.82381415 ; 0.5657261 ; 0.13524626
1 ; 95 ; 0.82706994 ; 0.5676763 ; 0.13761981
1 ; 96 ; 0.8308488 ; 0.57256377 ; 0.1376858
1 ; 97 ; 0.83505005 ; 0.5766582 ; 0.13847956
1 ; 98 ; 0.83804876 ; 0.5804447 ; 0.13844904
1 ; 99 ; 0.8411173 ; 0.5820577 ; 0.1383728
1 ; 100 ; 0.84450173 ; 0.58731425 ; 0.13905087
1 ; 101 ; 0.845846 ; 0.59264094 ; 0.13979037
1 ; 102 ; 0.8509432 ; 0.5957437 ; 0.13966988
1 ; 103 ; 0.8567781 ; 0.59687793 ; 0.14002761
1 ; 104 ; 0.86270994 ; 0.603988 ; 0.13994569
1 ; 105 ; 0.86803937 ; 0.6065283 ; 0.14031094
1 ; 106 ; 0.8738652 ; 0.60921705 ; 0.14018102
1 ; 107 ; 0.87915134 ; 0.614902 ; 0.14017004
1 ; 108 ; 0.8823231 ; 0.618914 ; 0.14104803
1 ; 109 ; 0.88640535 ; 0.62179613 ; 0.14104182
