train_epoch ; train_step ; discrim_loss ; gen_loss_GAN ; gen_loss_L1
1 ; 93 ; 0.82594675 ; 0.5473864 ; 0.13580185
1 ; 94 ; 0.831153 ; 0.553444 ; 0.13607183
1 ; 95 ; 0.8342223 ; 0.5564412 ; 0.1359591
1 ; 96 ; 0.8374919 ; 0.5587627 ; 0.13658863
1 ; 97 ; 0.8403133 ; 0.56144714 ; 0.13731085
1 ; 98 ; 0.8439349 ; 0.5656567 ; 0.1378295
1 ; 99 ; 0.8473067 ; 0.5672108 ; 0.13801752
1 ; 100 ; 0.8499272 ; 0.57411826 ; 0.13788971
1 ; 101 ; 0.8543967 ; 0.5746176 ; 0.1380995
1 ; 102 ; 0.85767514 ; 0.578837 ; 0.13864465
1 ; 103 ; 0.86230254 ; 0.58565074 ; 0.13879947
1 ; 104 ; 0.86683494 ; 0.5885942 ; 0.1393752
1 ; 105 ; 0.8719976 ; 0.59040266 ; 0.13945527
1 ; 106 ; 0.87663513 ; 0.5945258 ; 0.14012243
1 ; 107 ; 0.8825152 ; 0.60128325 ; 0.14057519
1 ; 108 ; 0.88813883 ; 0.6045315 ; 0.14074312
1 ; 109 ; 0.8926425 ; 0.60640323 ; 0.1411427
1 ; 110 ; 0.89624035 ; 0.6078523 ; 0.14123985
1 ; 111 ; 0.8982847 ; 0.6107986 ; 0.14150812
1 ; 112 ; 0.9006096 ; 0.61260474 ; 0.14153524
1 ; 113 ; 0.9039998 ; 0.6175774 ; 0.14162019
1 ; 114 ; 0.9044175 ; 0.621706 ; 0.1439274
1 ; 115 ; 0.906678 ; 0.6288248 ; 0.14433496
1 ; 116 ; 0.9094103 ; 0.6313062 ; 0.1445563
1 ; 117 ; 0.9128356 ; 0.6351063 ; 0.14445098
1 ; 118 ; 0.9161321 ; 0.63760144 ; 0.14476255
1 ; 119 ; 0.9206947 ; 0.640001 ; 0.1450154
1 ; 120 ; 0.9250189 ; 0.6455366 ; 0.14516096
1 ; 121 ; 0.9273307 ; 0.6479106 ; 0.14513333
1 ; 122 ; 0.9284163 ; 0.6523177 ; 0.14556699
1 ; 123 ; 0.9322374 ; 0.65206397 ; 0.14576913
1 ; 124 ; 0.93508154 ; 0.6573467 ; 0.146148
1 ; 125 ; 0.93787366 ; 0.6613887 ; 0.14615351
1 ; 126 ; 0.94242144 ; 0.6602045 ; 0.14645202
1 ; 127 ; 0.9438935 ; 0.66606337 ; 0.14757329
1 ; 128 ; 0.94640315 ; 0.66853607 ; 0.14837122
1 ; 129 ; 0.9468573 ; 0.6734155 ; 0.14887553
1 ; 130 ; 0.9486973 ; 0.6776748 ; 0.14889379
1 ; 131 ; 0.95199627 ; 0.68442 ; 0.14871581
1 ; 132 ; 0.9551829 ; 0.684892 ; 0.1491555
1 ; 133 ; 0.95840824 ; 0.68521893 ; 0.14971566
1 ; 134 ; 0.9629319 ; 0.6915036 ; 0.14958134
1 ; 135 ; 0.9662118 ; 0.6939257 ; 0.14969866
1 ; 136 ; 0.96907943 ; 0.6956221 ; 0.14984816
1 ; 137 ; 0.9709346 ; 0.69878274 ; 0.14983368
1 ; 138 ; 0.9711507 ; 0.69966644 ; 0.15096942
1 ; 139 ; 0.97273153 ; 0.7046763 ; 0.15091874
1 ; 140 ; 0.9742072 ; 0.71188366 ; 0.1506482
1 ; 141 ; 0.97734123 ; 0.710175 ; 0.1508832
1 ; 142 ; 0.9800508 ; 0.71496284 ; 0.15081185
1 ; 143 ; 0.9822444 ; 0.72127306 ; 0.15109073
1 ; 144 ; 0.98396754 ; 0.725899 ; 0.15081751
1 ; 145 ; 0.9837135 ; 0.7282901 ; 0.15115571
1 ; 146 ; 0.9831184 ; 0.73434526 ; 0.15134254
1 ; 147 ; 0.98438597 ; 0.73589426 ; 0.15121056
1 ; 148 ; 0.98649544 ; 0.73994714 ; 0.15101069
1 ; 149 ; 0.98791516 ; 0.742788 ; 0.15119049
1 ; 150 ; 0.9886147 ; 0.7460637 ; 0.15360606
2 ; 1 ; 0.99155384 ; 0.7544138 ; 0.15373634
2 ; 2 ; 0.99089915 ; 0.75565606 ; 0.1562614
2 ; 3 ; 0.9937884 ; 0.76025736 ; 0.15606748
2 ; 4 ; 0.998298 ; 0.7640031 ; 0.1563554
2 ; 5 ; 0.9992386 ; 0.7682205 ; 0.156023
2 ; 6 ; 0.9995833 ; 0.7691594 ; 0.15572923
2 ; 7 ; 1.0001202 ; 0.7705309 ; 0.15592708
2 ; 8 ; 0.9959495 ; 0.7757368 ; 0.15814744
2 ; 9 ; 0.9961842 ; 0.7840751 ; 0.15815383
2 ; 10 ; 0.9988598 ; 0.7865905 ; 0.1583199
2 ; 11 ; 0.99988866 ; 0.79239553 ; 0.15821345
2 ; 12 ; 1.003733 ; 0.7941059 ; 0.15797879
2 ; 13 ; 1.0048052 ; 0.79615825 ; 0.15810525
2 ; 14 ; 1.0070086 ; 0.8003823 ; 0.1578466
2 ; 15 ; 1.0058318 ; 0.80153227 ; 0.16004422
2 ; 16 ; 1.0061998 ; 0.80787945 ; 0.16015373
2 ; 17 ; 1.0065042 ; 0.81567377 ; 0.16046908
2 ; 18 ; 1.0032662 ; 0.8187195 ; 0.16238713
2 ; 19 ; 1.0044724 ; 0.82565165 ; 0.16209087
2 ; 20 ; 1.0048097 ; 0.8258298 ; 0.16202934
2 ; 21 ; 1.0046711 ; 0.8267447 ; 0.16188736
2 ; 22 ; 1.0060003 ; 0.8323752 ; 0.16164589
2 ; 23 ; 1.0028603 ; 0.83490455 ; 0.1634703
2 ; 24 ; 1.0024604 ; 0.84136236 ; 0.16400647
2 ; 25 ; 0.99969095 ; 0.8464258 ; 0.16437
2 ; 26 ; 0.99926203 ; 0.8530487 ; 0.16446836
2 ; 27 ; 0.99954766 ; 0.85122716 ; 0.1642478
2 ; 28 ; 0.9972655 ; 0.85734457 ; 0.16424301
2 ; 29 ; 0.9977871 ; 0.86514443 ; 0.16413882
2 ; 30 ; 1.0076983 ; 0.85900575 ; 0.16393633
2 ; 31 ; 1.0104456 ; 0.8669063 ; 0.16390403
2 ; 32 ; 1.0120105 ; 0.86673355 ; 0.16387802
2 ; 33 ; 1.0177039 ; 0.8692463 ; 0.16397633
2 ; 34 ; 1.0220244 ; 0.8734678 ; 0.16427572
2 ; 35 ; 1.0250434 ; 0.8727305 ; 0.16403958
2 ; 36 ; 1.028336 ; 0.87497073 ; 0.16441147
2 ; 37 ; 1.0329796 ; 0.87929827 ; 0.16439533
2 ; 38 ; 1.0362604 ; 0.8869992 ; 0.16424507
2 ; 39 ; 1.0357335 ; 0.8883647 ; 0.16460298
2 ; 40 ; 1.0356426 ; 0.8863025 ; 0.1646217
2 ; 41 ; 1.0337614 ; 0.8865336 ; 0.16574863
2 ; 42 ; 1.036063 ; 0.89804375 ; 0.16548446
2 ; 43 ; 1.0372314 ; 0.9033197 ; 0.1652764
2 ; 44 ; 1.0386925 ; 0.89946187 ; 0.16749175
2 ; 45 ; 1.038072 ; 0.90205663 ; 0.16749895
2 ; 46 ; 1.0362114 ; 0.9100292 ; 0.16707294
2 ; 47 ; 1.0378091 ; 0.9103702 ; 0.16721934
2 ; 48 ; 1.0382452 ; 0.9110073 ; 0.16701412
2 ; 49 ; 1.0384396 ; 0.9124266 ; 0.16667145
2 ; 50 ; 1.0387655 ; 0.92346716 ; 0.1663364
2 ; 51 ; 1.0353177 ; 0.9265883 ; 0.16655588
2 ; 52 ; 1.0369042 ; 0.93451154 ; 0.16634277
2 ; 53 ; 1.0342635 ; 0.93562853 ; 0.16585985
2 ; 54 ; 1.0354673 ; 0.931594 ; 0.16731699
2 ; 55 ; 1.0307044 ; 0.9348836 ; 0.16789617
2 ; 56 ; 1.031799 ; 0.94732445 ; 0.16777426
2 ; 57 ; 1.0317285 ; 0.9495064 ; 0.16865976
2 ; 58 ; 1.0312716 ; 0.9505875 ; 0.16835295
2 ; 59 ; 1.0278932 ; 0.958189 ; 0.16790442
2 ; 60 ; 1.0255966 ; 0.95804405 ; 0.16750638
2 ; 61 ; 1.0278015 ; 0.9547637 ; 0.16885711
2 ; 62 ; 1.03101 ; 0.964729 ; 0.16868946
2 ; 63 ; 1.030057 ; 0.96518654 ; 0.16864268
2 ; 64 ; 1.0278484 ; 0.96467304 ; 0.16821767
2 ; 65 ; 1.0244113 ; 0.9734774 ; 0.16822976
2 ; 66 ; 1.0213 ; 0.9766742 ; 0.16797714
2 ; 67 ; 1.0171341 ; 0.9823779 ; 0.16761845
2 ; 68 ; 1.0155461 ; 0.9797619 ; 0.16869482
2 ; 69 ; 1.0153673 ; 0.99003726 ; 0.16847788
2 ; 70 ; 1.0142496 ; 0.991978 ; 0.1681389
2 ; 71 ; 1.0117009 ; 0.99433756 ; 0.16823682
2 ; 72 ; 1.0097915 ; 1.0043843 ; 0.16820422
2 ; 73 ; 1.0105982 ; 1.0018579 ; 0.16807494
